Encuesta;Fecha;Mes;Pais de Procedencia;Cuidad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo de estancia;;;;;;;;;;
2347;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2348;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2349;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;28;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2350;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;35;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2351;2018-10-26;Octubre;Alemania;Berlin;Extranjero;N/A;Europa;Femenino;29;21 a 45 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
2352;2018-10-26;Octubre;Alemania;Berlin;Extranjero;N/A;Europa;Masculino;31;21 a 45 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
2353;2018-10-26;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;29;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
2354;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;34;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2355;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;38;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2356;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;18;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2357;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;23;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2358;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;54;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2359;2018-10-26;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;15;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2360;2018-10-26;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;45;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;8;7-10 Noches;;;;;;;;;;
2361;2018-10-26;octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;35;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2362;2018-10-26;octubre;Colombia;Buenaventura;Nacional;Occidente;N/A;Femenino;47;Más de 45 años;Salud;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
2363;2018-10-26;octubre;Colombia;Pereira;Nacional;Centro;N/A;Masculino;47;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;5;4-6 Noches;;;;;;;;;;
2364;2018-10-26;octubre;Colombia;Pasto;Nacional;Sur;N/A;Femenino;34;21 a 45 años;Negocios;N/A;Español;N/A;Otros;N/A;Terrestre particular;20;Mas de 10 Noches;;;;;;;;;;
2365;2018-10-26;octubre;Colombia;Villavicencio ;Nacional;Oriente;N/A;Femenino;33;21 a 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
2366;2018-10-27;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;48;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2367;2018-10-27;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;58;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2368;2018-10-27;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;24;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2369;2018-10-27;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;43;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2370;2018-10-27;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;41;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2371;2018-10-27;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;56;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2372;2018-10-27;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;34;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2373;2018-10-27;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;60;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;6;4-6 Noches;;;;;;;;;;
2374;2018-10-27;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;38;21 a 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Terrestre particular;20;Mas de 10 Noches;;;;;;;;;;
