Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedendia- Visitantes nacionales,Zona procedendia- Visitantes internacionales,Sexo,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Rango de Tiempo de estancia
981,11/24/2015,Noviembre,Francia,Paris,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
982,11/24/2015,Noviembre,Puerto Rico,Barranquitas,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
983,11/24/2015,Noviembre,España,Lousame,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
984,11/24/2015,Noviembre,Alemania,Passau,Extranjero,N/A,Europa,Femenino,21 - 45 años,Visita parientes o amigos,N/A,Alemán,N/A,Hostal,N/A,Aéreo,N/A
985,11/25/2015,Noviembre,Colombia,Medellín,Nacional,Centro,N/A,Femenino,21 - 45 años,Educación y/o Formación,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
986,11/25/2015,Noviembre,Colombia,Medellín,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
987,11/25/2015,Noviembre,Colombia,Medellín,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
988,11/25/2015,Noviembre,Colombia,Medellín,Nacional,Centro,N/A,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
989,11/26/2015,Noviembre,Venezuela,Caracas,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
990,11/26/2015,Noviembre,Venezuela,Caracas,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
